"Have_IP","Have_At","URL_Length","URL_Depth","Redirection","https_Domain","TinyURL","Prefix/Suffix","DNS_Record","Web_Traffic","Domain_Age","Domain_End","iFrame","Mouse_Over","Right_Click","Web_Forwards","Num_Dots","HTTPS_Token","Suspicious_Words","Content_Length","Num_Images","Num_Scripts","Label"
0,0,36,0,0,0,0,1,1,0,-1,-1,0,0,0,0,2,0,0,1123,0,1,1
0,0,48,2,0,1,0,1,1,0,-1,-1,0,0,0,0,2,0,0,450,0,3,1
0,0,175,5,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,127,0,18,1
0,0,32,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,450,0,3,1
0,0,36,1,0,1,0,0,1,0,-1,-1,0,0,0,0,1,0,0,1257,0,0,1
0,0,95,1,0,1,0,1,1,0,-1,-1,0,0,0,0,2,0,0,169,2,1,1
0,0,61,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,69,0,0,1
0,0,95,1,0,1,0,1,1,0,-1,-1,0,0,0,0,2,0,0,169,2,1,1
0,0,37,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,69,0,0,1
0,0,167,5,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,160,1,0,1
0,0,42,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
0,0,99,2,0,1,0,0,1,0,-1,-1,1,0,0,0,2,0,0,387,1,12,1
0,0,36,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,69,0,0,1
0,0,95,1,0,1,0,1,1,0,-1,-1,0,0,0,0,2,0,0,169,2,1,1
0,0,34,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,147,1,1,1
0,0,44,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,69,0,0,1
0,0,51,1,0,0,0,1,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,1
0,0,26,1,0,0,0,0,1,0,-1,-1,0,0,0,0,3,0,0,0,0,0,1
0,0,29,0,0,0,0,1,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,1
